route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,246064224606423,246064224606423+1051480+1,Grand Central,1213,1,,5,1,1
3,246064224606423,246064224606423+1051483+1,Grand Central,1221,1,,5,1,1
3,246064224606423,246064224606423+1051487+1,Grand Central,1225,1,,5,1,1
3,246064224606423,246064224606423+1051494+1,Grand Central,1229,1,,5,1,1
3,246064224606423,246064224606423+1051499+1,Grand Central,1231,1,,5,1,1
3,246064224606423,246064224606423+1051503+1,Grand Central,1233,1,,5,1,1
3,246064224606423,246064224606423+1051506+1,Grand Central,1237,1,,5,1,1
3,246064224606423,246064224606423+1051513+0,Grand Central,1239,1,,5,1,0
3,246064224606423,246064224606423+1051518+0,Grand Central,1241,1,,5,1,0
3,246064224606423,246064224606423+1051521+1,Harrison,1244,0,,16,1,1
3,246064224606423,246064224606423+1051526+1,Harrison,1248,0,,16,1,1
3,246064224606423,246064224606423+1051541+1,Harrison,1260,0,,16,1,1
3,246064224606423,246064224606423+1051546+1,Harrison,1264,0,,16,1,1
3,246064224606423,246064224606423+1051553+1,New Rochelle,1268,0,,16,1,1
3,246064224606423,246064224606423+1051558+1,Harrison,1270,0,,16,1,1
3,246064224606423,246064224606423+1051564+1,Harrison,1274,0,,16,1,1
3,246064224606423,246064224606423+1051570+0,Grand Central,1275,1,,5,1,0
3,246064224606423,246064224606423+1051578+0,Grand Central,1279,1,,5,1,0
3,246064224606423,246064224606423+1051585+0,Grand Central,1299,1,,5,1,0
3,246064224606423,246064224606423+1051590+0,Stamford,1300,0,,16,1,0
3,246064224606423,246064224606423+1051598+0,Grand Central,1301,1,,5,1,0
3,246064224606423,246064224606423+1051600+0,Stamford,1302,0,,16,1,0
3,246064224606423,246064224606423+1051609+1,Grand Central,1303,1,,5,1,1
3,246064224606423,246064224606423+1051614+0,Stamford,1304,0,,16,1,0
3,246064224606423,246064224606423+1051617+1,Grand Central,1305,1,,5,1,1
3,246064224606423,246064224606423+1051621+0,Greenwich,1306,0,,16,1,0
3,246064224606423,246064224606423+1051623+1,Grand Central,1307,1,,5,1,1
3,246064224606423,246064224606423+1051625+1,Greenwich,1308,0,,16,1,1
3,246064224606423,246064224606423+1051631+1,Grand Central,1309,1,,5,1,1
3,246064224606423,246064224606423+1051635+1,Greenwich,1310,0,,16,1,1
3,246064224606423,246064224606423+1051640+1,Grand Central,1311,1,,5,1,1
3,246064224606423,246064224606423+1051644+1,Stamford,1312,0,,16,1,1
3,246064224606423,246064224606423+1051652+1,Stamford,1314,0,,16,1,1
3,246064224606423,246064224606423+1051655+1,Grand Central,1315,1,,5,1,1
3,246064224606423,246064224606423+1051662+0,Stamford,1316,0,,16,1,0
3,246064224606423,246064224606423+1051665+1,Grand Central,1317,1,,5,1,1
3,246064224606423,246064224606423+1051668+0,Stamford,1318,0,,16,1,0
3,246064224606423,246064224606423+1051675+0,Stamford,1320,0,,16,1,0
3,246064224606423,246064224606423+1051682+1,Grand Central,1321,1,,5,1,1
3,246064224606423,246064224606423+1051689+0,Stamford,1322,0,,16,1,0
3,246064224606423,246064224606423+1051692+0,Stamford,1324,0,,16,1,0
3,246064224606423,246064224606423+1051699+1,Grand Central,1325,1,,5,1,1
3,246064224606423,246064224606423+1051703+0,Stamford,1326,0,,16,1,0
3,246064224606423,246064224606423+1051711+1,Grand Central,1327,1,,5,1,1
3,246064224606423,246064224606423+1051715+0,Stamford,1328,0,,16,1,0
3,246064224606423,246064224606423+1051723+0,Stamford,1330,0,,16,1,0
3,246064224606423,246064224606423+1051731+1,Grand Central,1331,1,,5,1,1
3,246064224606423,246064224606423+1051733+0,Stamford,1332,0,,16,1,0
3,246064224606423,246064224606423+1051740+1,Grand Central,1333,1,,5,1,1
3,246064224606423,246064224606423+1051744+0,Stamford,1334,0,,16,1,0
3,246064224606423,246064224606423+1051750+1,Grand Central,1335,1,,5,1,1
3,246064224606423,246064224606423+1051752+0,Stamford,1336,0,,16,1,0
3,246064224606423,246064224606423+1051759+0,Stamford,1338,0,,16,1,0
3,246064224606423,246064224606423+1051766+0,Grand Central,1339,1,,5,1,0
3,246064224606423,246064224606423+1051775+0,Stamford,1340,0,,16,1,0
3,246064224606423,246064224606423+1051781+0,Grand Central,1341,1,,5,1,0
3,246064224606423,246064224606423+1051789+0,Stamford,1342,0,,16,1,0
3,246064224606423,246064224606423+1051799+1,Stamford,1346,0,,16,1,1
3,246064224606423,246064224606423+1051807+0,Grand Central,1347,1,,5,1,0
3,246064224606423,246064224606423+1051813+0,Grand Central,1349,1,,5,1,0
3,246064224606423,246064224606423+1051820+0,Grand Central,1351,1,,5,1,0
3,246064224606423,246064224606423+1051825+1,Stamford,1352,0,,16,1,1
3,246064224606423,246064224606423+1051830+0,Grand Central,1353,1,,5,1,0
3,246064224606423,246064224606423+1051832+0,Grand Central,1355,1,,5,1,0
3,246064224606423,246064224606423+1051837+0,Grand Central,1357,1,,5,1,0
3,246064224606423,246064224606423+1051843+1,Stamford,1358,0,,16,1,1
3,246064224606423,246064224606423+1051848+0,Grand Central,1359,1,,5,1,0
